,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Found
avarua,15.0,CK,1566660482.0,88.0,-21.21,-159.78,294.15,1.0,true
butaritari,56.0,KI,1566660482.0,73.0,3.07,172.79,301.873,2.62,true
berdigestyakh,0.0,RU,1566660482.0,88.0,62.1,126.7,284.573,0.74,true
hermanus,0.0,ZA,1566660482.0,83.0,-34.42,19.24,291.48,1.79,true
lebu,75.0,ET,1566660483.0,72.0,8.96,38.73,290.15,2.1,true
vardo,1.0,US,1566660483.0,53.0,39.62,-77.74,296.48,3.6,true
busselton,100.0,AU,1566660483.0,57.0,-33.64,115.35,283.15,6.78,true
vaini,20.0,IN,1566660483.0,88.0,15.34,74.49,297.15,2.6,true
mataura,97.0,NZ,1566660483.0,83.0,-46.19,168.86,279.82,1.34,true
albany,40.0,US,1566660303.0,60.0,42.65,-73.75,294.26,4.1,true
kapaa,90.0,US,1566660484.0,74.0,22.08,-159.32,300.15,7.7,true
paez,40.0,CO,1566660484.0,45.0,2.93,-76.46,302.15,2.1,true
ilulissat,5.0,GL,1566660484.0,48.0,69.22,-51.1,279.15,4.1,true
ushuaia,40.0,AR,1566660484.0,65.0,-54.81,-68.31,281.15,1.5,true
okhotsk,80.0,RU,1566660484.0,95.0,59.36,143.24,284.173,2.61,true
punta arenas,75.0,CL,1566660485.0,100.0,-53.16,-70.91,279.15,2.6,true
naze,100.0,NG,1566660485.0,81.0,5.43,7.07,298.973,3.76,true
bejar,38.0,AL,1566660485.0,47.0,40.49,19.83,303.173,1.11,true
pisco,90.0,PE,1566660485.0,30.0,-13.71,-76.2,295.15,3.6,true
oxford,0.0,GB,1566660485.0,36.0,51.75,-1.26,303.15,3.6,true
airai,62.0,TL,1566660485.0,80.0,-8.93,125.41,292.473,2.27,true
georgiyevka,0.0,RU,1566660485.0,47.0,52.25,40.45,295.873,1.17,true
cape town,0.0,ZA,1566660236.0,32.0,-33.93,18.42,294.15,8.2,true
russell,90.0,US,1566660486.0,94.0,38.9,-98.86,294.26,6.2,true
paamiut,0.0,GL,1566660486.0,64.0,61.99,-49.67,278.473,2.79,true
pangnirtung,90.0,CA,1566660486.0,87.0,66.15,-65.72,281.15,3.1,true
victoria,75.0,BN,1566660486.0,83.0,5.28,115.24,302.15,4.23,true
voloshka,64.0,RU,1566660486.0,92.0,61.33,40.09,286.473,3.35,true
el chichicaste,100.0,HN,1566660486.0,74.0,14.07,-86.3,296.873,1.45,true
dhidhdhoo,93.0,MV,1566660487.0,79.0,6.88,73.1,300.673,5.65,true
faanui,61.0,PF,1566660487.0,72.0,-16.48,-151.75,298.473,3.51,true
iqaluit,75.0,CA,1566660487.0,75.0,63.75,-68.52,280.15,3.1,true
bambous virieux,75.0,MU,1566660487.0,78.0,-20.34,57.76,295.15,6.7,true
bredasdorp,0.0,ZA,1566660487.0,56.0,-34.53,20.04,295.15,3.1,true
degollado,100.0,MX,1566660487.0,86.0,20.45,-102.13,292.373,0.35,true
arraial do cabo,40.0,BR,1566660488.0,57.0,-22.97,-42.02,297.15,1.5,true
kikwit,71.0,CD,1566660488.0,17.0,-5.04,18.82,309.573,1.04,true
poum,40.0,MK,1566660488.0,35.0,41.28,20.71,302.15,1.5,true
abancay,20.0,PE,1566660488.0,43.0,-13.64,-72.88,284.15,2.1,true
hobart,75.0,AU,1566660328.0,65.0,-42.88,147.33,280.15,5.1,true
anloga,75.0,GH,1566660291.0,74.0,5.79,0.9,301.15,7.2,true
jasper,1.0,US,1566660309.0,66.0,33.83,-87.28,304.15,1.22,true
pevek,47.0,RU,1566660489.0,79.0,69.7,170.27,278.673,0.57,true
hasaki,75.0,JP,1566660489.0,94.0,35.73,140.83,297.15,1.5,true
mar del plata,66.0,AR,1566660489.0,47.0,-46.43,-67.52,285.473,10.98,true
chuy,38.0,UY,1566660281.0,71.0,-33.69,-53.46,285.973,2.5,true
hovd,75.0,NO,1566660489.0,77.0,63.83,10.7,290.37,2.1,true
longyearbyen,75.0,NO,1566660490.0,95.0,78.22,15.63,278.15,4.6,true
katsuura,90.0,JP,1566660490.0,83.0,33.93,134.5,296.15,2.6,true
isangel,94.0,VU,1566660490.0,69.0,-19.55,169.27,293.473,8.95,true
klaksvik,94.0,FO,1566660490.0,100.0,62.23,-6.59,284.15,5.1,true
castro,90.0,CL,1566660490.0,87.0,-42.48,-73.76,282.15,4.1,true
broome,0.0,GB,1566660491.0,39.0,52.47,1.45,301.48,4.6,true
zhigansk,21.0,RU,1566660491.0,86.0,66.77,123.37,282.673,1.13,true
barcelos,0.0,BR,1566660491.0,51.0,-0.97,-62.93,305.973,1.44,true
mahebourg,75.0,MU,1566660491.0,78.0,-20.41,57.7,295.15,6.7,true
tahe,31.0,CN,1566660491.0,90.0,52.34,124.71,285.273,0.2,true
talnakh,0.0,RU,1566660491.0,93.0,69.49,88.39,286.15,4.0,true
puro,100.0,PH,1566660492.0,88.0,13.13,123.76,299.373,1.28,true
yellowknife,90.0,CA,1566660492.0,93.0,62.45,-114.38,284.15,4.6,true
port alfred,0.0,ZA,1566660492.0,82.0,-33.59,26.89,293.15,1.28,true
kaduqli,5.0,SD,1566660492.0,65.0,11.01,29.72,301.373,0.68,true
fort morgan,40.0,US,1566660492.0,68.0,40.25,-103.8,292.15,4.6,true
laguna,40.0,BZ,1566660492.0,82.0,16.17,-88.94,293.15,0.42,true
rikitea,100.0,PF,1566660493.0,71.0,-23.12,-134.97,293.773,9.13,true
east london,0.0,ZA,1566660493.0,44.0,-33.02,27.91,297.15,1.5,true
phangnga,40.0,TH,1566660363.0,74.0,8.45,98.53,301.15,3.6,true
qaanaaq,91.0,GL,1566660493.0,59.0,77.48,-69.36,276.473,8.32,true
belozerskoye,0.0,RU,1566660493.0,77.0,55.82,65.58,288.373,3.57,true
half moon bay,90.0,US,1566660493.0,100.0,37.46,-122.43,292.15,2.6,true
san quintin,100.0,PH,1566660494.0,88.0,17.54,120.52,297.373,2.33,true
upernavik,43.0,GL,1566660494.0,64.0,72.79,-56.15,278.973,3.98,true
puerto ayora,40.0,EC,1566660494.0,69.0,-0.74,-90.35,297.15,4.6,true
dikson,100.0,RU,1566660494.0,96.0,73.51,80.55,278.473,7.14,true
miri,71.0,NG,1566660494.0,84.0,10.31,9.75,297.573,2.04,true
mao,40.0,DO,1566660206.0,66.0,19.55,-71.08,308.15,7.2,true
ribeira grande,20.0,PT,1566660494.0,57.0,38.52,-28.7,298.15,7.7,true
alpena,40.0,US,1566660495.0,52.0,45.06,-83.43,294.15,2.1,true
jamestown,0.0,AU,1566660356.0,94.0,-33.21,138.6,277.473,2.3,true
nsanje,52.0,MZ,1566660495.0,47.0,-16.92,35.26,299.073,3.61,true
talcahuano,75.0,CL,1566660495.0,100.0,-36.72,-73.12,285.15,1.5,true
georgetown,20.0,GY,1566660495.0,70.0,6.8,-58.16,305.15,4.1,true
bethel,1.0,US,1566660495.0,93.0,60.79,-161.76,282.15,3.6,true
barrow,100.0,AR,1566660495.0,55.0,-38.31,-60.23,288.673,6.39,true
hithadhoo,100.0,MV,1566660495.0,68.0,-0.6,73.08,301.773,4.35,true
nikolskoye,75.0,RU,1566660496.0,63.0,59.7,30.79,291.48,8.0,true
vila franca do campo,75.0,PT,1566660496.0,88.0,37.72,-25.43,296.15,7.2,true
araouane,63.0,ML,1566660496.0,32.0,18.9,-3.53,309.573,5.79,true
leh,0.0,IN,1566660496.0,32.0,34.16,77.58,284.273,2.89,true
bluff,0.0,AU,1566660496.0,82.0,-23.58,149.07,285.973,3.06,true
lata,100.0,IN,1566660496.0,95.0,30.78,78.62,280.573,0.92,true
billings,20.0,US,1566660200.0,52.0,45.79,-108.5,295.93,5.7,true
port-gentil,20.0,GA,1566660497.0,74.0,-0.72,8.78,300.15,5.1,true
